Customer_Id,Customer_Segment,Customer_Email,Customer_Password,Customer_Street,Customer_City,Customer_State,Customer_Country,Customer_Zipcode,Customer_Name
20755,Consumer,XXXXXXXXX,XXXXXXXXX,5365 Noble Nectar Island,Caguas,PR,Puerto Rico,725.0,Cally Holloway
19492,Consumer,XXXXXXXXX,XXXXXXXXX,2679 Rustic Loop,Caguas,PR,Puerto Rico,725.0,Irene Luna
19491,Consumer,XXXXXXXXX,XXXXXXXXX,8510 Round Bear Gate,San Jose,CA,EE. UU.,95125.0,Gillian Maldonado
19490,Home Office,XXXXXXXXX,XXXXXXXXX,3200 Amber Bend,Los Angeles,CA,EE. UU.,90027.0,Tana Tate
19489,Corporate,XXXXXXXXX,XXXXXXXXX,8671 Iron Anchor Corners,Caguas,PR,Puerto Rico,725.0,Orli Hendricks
19488,Consumer,XXXXXXXXX,XXXXXXXXX,2122 Hazy Corner,Tonawanda,NY,EE. UU.,14150.0,Kimberly Flowers
19487,Home Office,XXXXXXXXX,XXXXXXXXX,1879 Green Pine Bank,Caguas,PR,Puerto Rico,725.0,Constance Terrell
19486,Corporate,XXXXXXXXX,XXXXXXXXX,7595 Cotton Log Row,Miami,FL,EE. UU.,33162.0,Erica Stevens
19485,Corporate,XXXXXXXXX,XXXXXXXXX,2051 Dusty Route,Caguas,PR,Puerto Rico,725.0,Nichole Olsen
19484,Corporate,XXXXXXXXX,XXXXXXXXX,9139 Blue Blossom Court,San Ramon,CA,EE. UU.,94583.0,Oprah Delacruz
19483,Corporate,XXXXXXXXX,XXXXXXXXX,4058 Quiet Heights,Caguas,PR,Puerto Rico,725.0,Germane Short
19482,Consumer,XXXXXXXXX,XXXXXXXXX,3243 Shady Corner,Freeport,NY,EE. UU.,11520.0,Freya Robbins
19481,Corporate,XXXXXXXXX,XXXXXXXXX,131 Sunny Treasure Green,Salinas,CA,EE. UU.,93905.0,Cassandra Jensen
19480,Corporate,XXXXXXXXX,XXXXXXXXX,2531 Wishing Square,Caguas,PR,Puerto Rico,725.0,Natalie Mcfadden
19479,Corporate,XXXXXXXXX,XXXXXXXXX,6417 Silver Towers,Peabody,MA,EE. UU.,1960.0,Kimberley Sharpe
19478,Corporate,XXXXXXXXX,XXXXXXXXX,257 Harvest Close,Caguas,PR,Puerto Rico,725.0,Sade Lancaster
19477,Corporate,XXXXXXXXX,XXXXXXXXX,7342 Hazy Beacon Park,Canovanas,PR,Puerto Rico,729.0,Brynne Giles
19476,Corporate,XXXXXXXXX,XXXXXXXXX,7787 Lazy Corners,Paramount,CA,EE. UU.,90723.0,Ciara Bird
19475,Consumer,XXXXXXXXX,XXXXXXXXX,5136 Rustic Pioneer Estates,Caguas,PR,Puerto Rico,725.0,Bo Griffin
19474,Consumer,XXXXXXXXX,XXXXXXXXX,1723 Tawny Via,Mount Prospect,IL,EE. UU.,60056.0,Kim Simon
19473,Corporate,XXXXXXXXX,XXXXXXXXX,7111 Silent Fox Gardens,Long Beach,CA,EE. UU.,90813.0,Kellie Farmer
19472,Corporate,XXXXXXXXX,XXXXXXXXX,3732 Old Mountain Bank,Caguas,PR,Puerto Rico,725.0,Alma Conley
19471,Corporate,XXXXXXXXX,XXXXXXXXX,6217 Rustic Lake Forest,Rancho Cordova,CA,EE. UU.,95670.0,Yeo Bird
19470,Corporate,XXXXXXXXX,XXXXXXXXX,1082 Quiet Treasure Link,Caguas,PR,Puerto Rico,725.0,Lucy Mcknight
19469,Corporate,XXXXXXXXX,XXXXXXXXX,3176 Round Gate,Billings,MT,EE. UU.,59102.0,Simone Vance
19468,Corporate,XXXXXXXXX,XXXXXXXXX,1426 Fallen Line,Caguas,PR,Puerto Rico,725.0,Roary Wheeler
19467,Consumer,XXXXXXXXX,XXXXXXXXX,9814 Emerald Prairie Limits,Wilkes Barre,PA,EE. UU.,18702.0,Quail Ashley
19466,Corporate,XXXXXXXXX,XXXXXXXXX,8271 Tawny Elk Abbey,Caguas,PR,Puerto Rico,725.0,Hannah Velez
19465,Corporate,XXXXXXXXX,XXXXXXXXX,3931 Gentle Ramp,Roseville,MI,EE. UU.,48066.0,Evelyn Kelly
19464,Consumer,XXXXXXXXX,XXXXXXXXX,9699 Honey Rise,Bellflower,CA,EE. UU.,90706.0,Jael Mcfarland
19463,Consumer,XXXXXXXXX,XXXXXXXXX,1564 Rocky Terrace,Caguas,PR,Puerto Rico,725.0,Teagan Romero
19462,Consumer,XXXXXXXXX,XXXXXXXXX,4294 High Passage,Wheaton,IL,EE. UU.,60187.0,Joan Wilder
19461,Consumer,XXXXXXXXX,XXXXXXXXX,5918 Golden Beacon Freeway,Caguas,PR,Puerto Rico,725.0,Basia Watts
19460,Consumer,XXXXXXXXX,XXXXXXXXX,3915 Broad Lookout,Detroit,MI,EE. UU.,48238.0,Dominique Rogers
19459,Consumer,XXXXXXXXX,XXXXXXXXX,7190 Silver Horse Glade,Dallas,TX,EE. UU.,75220.0,Ainsley Mathis
19458,Corporate,XXXXXXXXX,XXXXXXXXX,830 Broad Beacon Maze,Caguas,PR,Puerto Rico,725.0,Aurora Sharp
19457,Corporate,XXXXXXXXX,XXXXXXXXX,6127 Dewy Goose Downs,Carlisle,PA,EE. UU.,17013.0,Libby Bray
19456,Corporate,XXXXXXXXX,XXXXXXXXX,1188 Old Abbey,Dallas,TX,EE. UU.,75228.0,Amy Lindsay
19455,Consumer,XXXXXXXXX,XXXXXXXXX,7004 Hazy Lake Townline,Caguas,PR,Puerto Rico,725.0,Ivory Parks
19454,Consumer,XXXXXXXXX,XXXXXXXXX,2556 Umber Autoroute,Newark,DE,EE. UU.,19702.0,Karina Prince
19453,Consumer,XXXXXXXXX,XXXXXXXXX,3722 Thunder Cape,Panorama City,CA,EE. UU.,91402.0,Deanna Goff
19452,Home Office,XXXXXXXXX,XXXXXXXXX,2676 Velvet Common,Caguas,PR,Puerto Rico,725.0,Dacey Walters
19451,Home Office,XXXXXXXXX,XXXXXXXXX,833 Amber Anchor Glen,Atlanta,GA,EE. UU.,30318.0,Adele Pennington
19450,Home Office,XXXXXXXXX,XXXXXXXXX,830 Quaking Bear Grounds,Caguas,PR,Puerto Rico,725.0,Sybill Spencer
19449,Consumer,XXXXXXXXX,XXXXXXXXX,1509 Middle Oak Isle,Fremont,CA,EE. UU.,94539.0,Kay Sandoval
19448,Corporate,XXXXXXXXX,XXXXXXXXX,9712 Fallen Robin Diversion,Caguas,PR,Puerto Rico,725.0,Stacy Mckinney
19447,Corporate,XXXXXXXXX,XXXXXXXXX,8665 Sunny Deer Woods,Rochester,NY,EE. UU.,14609.0,Marah Lara
19446,Corporate,XXXXXXXXX,XXXXXXXXX,9879 Harvest Deer Farms,Dallas,TX,EE. UU.,75211.0,Taylor Wood
9083,Home Office,XXXXXXXXX,XXXXXXXXX,75 Sunny Grounds,Bayamon,PR,Puerto Rico,957.0,Mary Frank
4741,Home Office,XXXXXXXXX,XXXXXXXXX,9731 Honey Fox Towers,Caguas,PR,Puerto Rico,725.0,Mary Smith
639,Home Office,XXXXXXXXX,XXXXXXXXX,7573 Golden Treasure Centre,Caguas,PR,Puerto Rico,725.0,Elizabeth Pittman
9702,Home Office,XXXXXXXXX,XXXXXXXXX,8369 Sunny Crossing,Caguas,PR,Puerto Rico,725.0,Katherine Tyler
9114,Home Office,XXXXXXXXX,XXXXXXXXX,1425 Fallen Fox Arbor,Caguas,PR,Puerto Rico,725.0,Mary Smith
1362,Home Office,XXXXXXXXX,XXXXXXXXX,2290 Crystal Pathway,Caguas,PR,Puerto Rico,725.0,Dennis Smith
8011,Home Office,XXXXXXXXX,XXXXXXXXX,6179 Noble Panda Moor,Caguas,PR,Puerto Rico,725.0,Mary Hill
3296,Home Office,XXXXXXXXX,XXXXXXXXX,8205 Silver Grove Row,Caguas,PR,Puerto Rico,725.0,Mary Smith
3182,Home Office,XXXXXXXXX,XXXXXXXXX,7786 Middle Private,Caguas,PR,Puerto Rico,725.0,Frances Smith
7864,Home Office,XXXXXXXXX,XXXXXXXXX,4294 High Passage,Caguas,PR,Puerto Rico,725.0,Alice Smith
11169,Home Office,XXXXXXXXX,XXXXXXXXX,5274 Easy Beach,Caguas,PR,Puerto Rico,725.0,Kyle Thomas
5197,Home Office,XXXXXXXXX,XXXXXXXXX,4692 Jagged Thicket,Caguas,PR,Puerto Rico,725.0,Brenda Jordan
1535,Home Office,XXXXXXXXX,XXXXXXXXX,5161 Crystal Quail Jetty,Caguas,PR,Puerto Rico,725.0,Frank Livingston
6122,Home Office,XXXXXXXXX,XXXXXXXXX,1465 Round Fawn Passage,Caguas,PR,Puerto Rico,725.0,Johnny Smith
9451,Home Office,XXXXXXXXX,XXXXXXXXX,5723 Cinder Loop,Caguas,PR,Puerto Rico,725.0,Mary Smith
542,Home Office,XXXXXXXXX,XXXXXXXXX,2991 Silent Deer Landing,Caguas,PR,Puerto Rico,725.0,Mary Smith
11329,Home Office,XXXXXXXXX,XXXXXXXXX,5086 Emerald Fox Farms,Caguas,PR,Puerto Rico,725.0,Hannah Smith
3570,Home Office,XXXXXXXXX,XXXXXXXXX,3909 Hidden Treasure Beach,Caguas,PR,Puerto Rico,725.0,Mary Nelson
650,Home Office,XXXXXXXXX,XXXXXXXXX,4691 Cinder Crest,Caguas,PR,Puerto Rico,725.0,Austin Sexton
9353,Home Office,XXXXXXXXX,XXXXXXXXX,5703 Tawny Creek Townline,Caguas,PR,Puerto Rico,725.0,Michael Scott
54,Home Office,XXXXXXXXX,XXXXXXXXX,7333 Cinder Way,Caguas,PR,Puerto Rico,725.0,Mary Olson
12151,Home Office,XXXXXXXXX,XXXXXXXXX,9404 Heather Bluff Dale,Caguas,PR,Puerto Rico,725.0,Vincent Krueger
10018,Home Office,XXXXXXXXX,XXXXXXXXX,1632 Green Fawn Corners,Caguas,PR,Puerto Rico,725.0,Gregory Rodriguez
4936,Home Office,XXXXXXXXX,XXXXXXXXX,8344 Noble Mountain Gate,Caguas,PR,Puerto Rico,725.0,Kyle Smith
8707,Home Office,XXXXXXXXX,XXXXXXXXX,7208 Bright Landing,Caguas,PR,Puerto Rico,725.0,Lisa Smith
1025,Home Office,XXXXXXXXX,XXXXXXXXX,1393 Umber Sky Estates,Caguas,PR,Puerto Rico,725.0,Megan Todd
8831,Home Office,XXXXXXXXX,XXXXXXXXX,8165 Red Lane,Caguas,PR,Puerto Rico,725.0,Mary Smith
10679,Home Office,XXXXXXXXX,XXXXXXXXX,331 Grand Orchard,Caguas,PR,Puerto Rico,725.0,Mary Smith
5007,Home Office,XXXXXXXXX,XXXXXXXXX,2264 Thunder Abbey,Caguas,PR,Puerto Rico,725.0,Mary Smith
9854,Home Office,XXXXXXXXX,XXXXXXXXX,9082 Merry Lookout,Caguas,PR,Puerto Rico,725.0,Mary Smith
376,Home Office,XXXXXXXXX,XXXXXXXXX,6468 Fallen Close,Caguas,PR,Puerto Rico,725.0,Grace Sanchez
5417,Home Office,XXXXXXXXX,XXXXXXXXX,7342 Hidden Walk,Caguas,PR,Puerto Rico,725.0,Dennis Meyer
